name,clean sheets,goals conceded,tackles,tackle success,last man tackles,blocked shots,interceptions,clearances,headed clearance,clearances off line,recoveries,duels won,duels lost,successful 50/50,aerial battles won,aerial battles lost,own goals,errors leading to goal,assists,passes,passes per match,big chances created,crosses,cross accuracy,through balls,accurate long balls,yellow cards,red cards,fouls,offsides,goals,headed goals,goals with right foot,goals with left foot,hit woodwork
 Mike van der Hoorn,5.0,27.0,32.0,0.69,1.0,3.0,39.0,123.0,67.0,0.0,96.0,114.0,82.0,9.0,57.0,45.0,0.0,0.0,0.0,858.0,35.75,2.0,8.0,0.38,0.0,74.0,4.0,0.0,22.0,0.0,1.0,1.0,0.0,0.0,0.0
 Ashley Williams,4.0,31.0,23.0,0.57,0.0,2.0,36.0,170.0,95.0,1.0,96.0,81.0,73.0,2.0,52.0,42.0,0.0,1.0,0.0,732.0,30.5,0.0,1.0,0.0,0.0,53.0,3.0,1.0,25.0,3.0,1.0,1.0,0.0,0.0,0.0
 Maya Yoshida,6.0,31.0,27.0,0.74,1.0,4.0,41.0,130.0,83.0,0.0,142.0,109.0,73.0,2.0,67.0,39.0,0.0,0.0,0.0,1062.0,44.25,1.0,2.0,0.5,0.0,62.0,2.0,1.0,19.0,0.0,2.0,1.0,1.0,0.0,1.0
 Danilo,7.0,11.0,43.0,0.67,0.0,2.0,19.0,28.0,11.0,0.0,65.0,77.0,42.0,8.0,16.0,6.0,0.0,0.0,2.0,1111.0,48.3,0.0,24.0,0.13,2.0,33.0,2.0,0.0,12.0,0.0,3.0,0.0,2.0,1.0,1.0
 Kiko Femenía,3.0,34.0,36.0,0.78,0.0,2.0,34.0,30.0,14.0,0.0,108.0,92.0,53.0,25.0,10.0,16.0,0.0,0.0,1.0,794.0,34.52,3.0,60.0,0.25,1.0,28.0,2.0,0.0,7.0,2.0,1.0,0.0,1.0,0.0,0.0
 Joseph Gomez,9.0,21.0,58.0,0.78,1.0,2.0,34.0,48.0,26.0,0.0,144.0,124.0,80.0,23.0,33.0,31.0,0.0,0.0,2.0,1337.0,58.13,2.0,45.0,0.22,0.0,49.0,3.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
 Florent Hadergjonaj,4.0,28.0,21.0,0.76,0.0,4.0,17.0,38.0,16.0,0.0,94.0,61.0,74.0,16.0,15.0,22.0,0.0,0.0,1.0,618.0,26.87,1.0,98.0,0.22,2.0,44.0,3.0,0.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0
 Daryl Janmaat,2.0,37.0,46.0,0.67,0.0,5.0,33.0,53.0,26.0,0.0,114.0,86.0,82.0,10.0,27.0,17.0,0.0,0.0,0.0,768.0,33.39,2.0,68.0,0.24,0.0,54.0,3.0,0.0,14.0,1.0,3.0,1.0,1.0,1.0,1.0
 Phil Jones,15.0,11.0,25.0,0.72,0.0,0.0,41.0,129.0,80.0,1.0,134.0,109.0,46.0,7.0,57.0,22.0,1.0,0.0,0.0,1083.0,47.09,0.0,2.0,0.0,0.0,53.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0
 Chris Löwe,5.0,26.0,43.0,0.67,0.0,2.0,34.0,55.0,20.0,1.0,74.0,68.0,60.0,5.0,12.0,12.0,0.0,1.0,0.0,619.0,26.91,0.0,73.0,0.15,0.0,39.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
